latitude	longitude	REFERENCE	département	commune	INSEE	catégorie	designation	propriétaire	description	date protection	auteur(s)	siècle
47.139214790892	5.8779561642441	PA00101434	25	Abbans-Dessous	25001	édifice religieux	Prieuré de Lieu-Dieu	Propriété d'une personne privée	Les restes de l'ancienne édifice religieux : inscription par arrêté du 30 juillet 1942	1942/07/30 : inscrit MH		11e siècle ; 12e siècle
47.122386	5.882097	PA00101435	25	Abbans-Dessus	25002	château	Château de Jouffroy-d'Abbans	Propriété d'une personne privée	Plateforme avec ses murs de soutènement et son accès avec pont au nord ; corps de logis : façades et toitures, rez-de-chaussée y compris les cheminées, les décors de lambris, les stucs, les portraits dans les lambris et les dessus de portes peints ; bâtiments des communs sur cour et entrée dans la cour : façades et toitures ; bâtiments des communs sud et cabanon dans le jardin : façades et toitures ; jardin (cad. D 90 à 93) : inscription par arrêté du 7 août 1992 ; Donjon composé de ses deux tours accolées ; galerie de portraits située au rez-de-chaussée du château (cad. D 90) : classement par arrêté du 05 juillet 1993.	1992/08/07 : inscrit MH ; 1993/07/05 : classé MH		15e siècle ; 18e siècle
47.0511	6.0633	PA00101436	25	Amancey	25015	château	Château de Fertans	Propriété d'une personne privée	Le portail d'entrée avec les deux tours qui le flanquent ; les façades et toitures du château ; la salle à manger et le grand salon au rez-de-chaussée avec leur décor ainsi que cinq cheminées dont trois au rez-de-chaussée et deux à l'étage (cad. AC 117) : inscription par arrêté du 11 juillet 1979	1979/07/11 : inscrit MH		18e siècle
47.025	6.2075	PA00101437	25	Amathay-Vésigneux	25016	croix	Croix devant l'édifice religieux	Propriété de la commune	Croix du 15e siècle érigée devant l'édifice religieux : classement par arrêté du 21 mars 1910	1910/03/21 : classé MH		15e siècle
47.3864	6.5594	PA25000052	25	Anteuil	25018	édifice religieux	Eglise de l'Assomption	propriété de la commune	L'édifice religieux en totalité (cad. E 177) : classement par arrêté du 28 janvier 2009	2009/01/28 : classé MH	Delacroix Alphonse (architecte)	2e quart 19e siècle
47.44533687	6.57214603	PA25000027	25	Appenans	25019	immeuble	Chalet Meiner	propriété d'une personne privée	Le chalet en totalité, y compris les immeubles par destination qu'il contient (cad. B 1063) : inscription par arrêté du 27 novembre 2002	2002/11/27 : inscrit MH		2e moitié 19e siècle
47.03306	5.78111	PA00101440	25	Arc-et-Senans	25021	saline	Ancienne saline royale, actuellement Fondation Claude-Nicolas Ledoux	propriété du département	Façades et couvertures des bâtiments suivants : bâtiment d'entrée (numéro 312 du cadastre) ; bâtiments dits des Maréchaux (numéros 310, 311, 313, 314 du cadastre) ; bâtiment en ruines de la direction (numéro 306 du cadastre) , avec les pierres en provenant ; bâtiments dits des Bosses (numéros 308 et 316 du cadastre) ; pavillon des Commis (numéros 309 et 315 du cadastre) ; pavillon de la remise (numéro 307 du cadastre) : classement par décret du 30 novembre 1926 - Ensemble du domaine tel qu'il est limité par le chemin de ronde d'une largeur d'environ 6 mètres qui borde à l'extérieur les murs d'enceinte, y compris ce chemin de ronde : classement par décret du 20 février 1940	1926/11/30 : classé MH ; 1940/02/20 : classé MH	Ledoux Claude Nicolas (architecte) ; Polti (architecte)	4e quart 18e siècle
47.0306	5.7686	PA00101438	25	Arc-et-Senans	25021	château	Château d'Arc	Propriété d'une personne privée	Façades et toitures du château et du bâtiment des communs ; l'escalier avec sa rampe en fer forgé ; le salon au Nord-Est, la pièce au Sud-Est au rez-de-chaussée et la pièce au Sud-Est à l'étage avec leur décor ; les cinq cheminées des pièces 3 et 4 au rez-de-chaussée et 7, 8 et 10 à l'étage telles qu'elles sont indiquées sur le plan du dossier (cad. B 27) : inscription par arrêté du 9 novembre 1984	1984/11/09 : inscrit MH		18e siècle
47.0423	5.7963	PA00101439	25	Arc-et-Senans	25021	château	Château de Roche	Propriété d'une personne privée	Façades et toitures, ainsi que la terrasse avec son mur de soutènement (cad. E 295, 296) : inscription par arrêté du 21 février 1974	1974/02/21 : inscrit MH		18e siècle
47.028078987729	5.7906891012099	PA00101775	25	Arc-et-Senans	25021	saline	Graduation de la Saline	propriété d'une personne privée	Bâtiment de la Graduation : sol, y compris les vestiges et substructures qu'il contient ; canal, y compris les restes de l'encagement des roues de la pompe ; ancienne maison du charpentier : façades et toiture (cad. C 227, 639, 640, 804, 805, 849 ; ZL 27, 28, 68, 69 ; ZN 35, 36, 40, 41) : inscription par arrêté du 8 octobre 1991	1991/10/08 : inscrit MH	LEDOUX Claude Nicolas (architecte)	4e quart 18e siècle
