Nom	Adresse	CodePostal	Commune	NumInsee	Acces	Latitude	Longitude	Telephone	Courriel	SiteInternet	Facebook	DescriptifLong
FRAC FRANCHE-COMTE	Cité des arts 2 passage des arts	25000	Besançon	25056		47.2363399611	6.0331571102	03 81 87 87 00	contact@frac-franche-comte.fr	www.frac-franche-comte.fr		Le Frac Franche-Comté est un lieu d’exception dédié à la découverte de la création artistique contemporaine. Il se veut un lieu d’échanges et de rencontres ouvert à tous les publics. Conçu par Kengo Kuma, ce bâtiment à dimension humaine et à l'esthétique douce et lumineuse a été conçu pour faciliter la découverte des œuvres par le visiteur lors de sa déambulation. Celui-ci y découvre une programmation sans cesse renouvelée fondée sur un programme d’expositions temporaires ambitieux et des propositions culturelles pluridisciplinaires.
LA CITADELLE DE BESANÇON 	99 rue des Fusillés	25000	Besançon	25056		47.2317613796	6.0318213701	03 81 87 83 33	contact@citadelle.besancon.fr	www.citadelle.com		Chef d'œuvre de Vauban inscrit au Patrimoine mondial de l’UNESCO, la Citadelle de Besançon est considérée comme l’une des plus belles de France. Offrant depuis ses chemins de ronde des panoramas spectaculaires, elle surplombe de plus de cent mètres la vieille ville de la capitale comtoise enserrée dans un méandre de la rivière Doubs. Haut lieu culturel et touristique unique en son genre, savant mélange entre histoire et monde vivant, la Citadelle abrite aujourd’hui derrière ses remparts trois Musées de France : le Musée de la Résistance et de la Déportation, un témoignage poignant sur la Seconde Guerre mondiale à travers de nombreux documents et objets originaux ; le Musée comtois, musée d'ethnographie régionale ouvert sur le monde et les sociétés actuelles, qui transmet l'histoire des hommes et des paysages ayant forgé la Franche-Comté au cours des derniers siècles ; le Muséum, unique et inattendu en ce lieu hors du commun, qui réunit des secteurs animaliers très variés (Jardin zoologique, Insectarium, Aquarium...) et nombre de collections des sciences de la vie et de la Terre (géologiques, botaniques, zoologiques, ethnographiques).
MUSÉE DES BEAUX-ARTS ET D'ARCHÉOLOGIE	1 place de la Révolution	25000	Besançon	25056		47.2400804814	6.0229110718	03 81 87 80 60	musee-beaux-arts-archeologie@besancon.fr	www.mbaa.besancon.fr	www.facebook.com/mbaa.besancon	Situé au cœur de Besançon, dans la boucle du Doubs, le Musée des Beaux-Arts et d'Archéologie est la plus ancienne collection publique de France. Son origine remonte à 1694. A cette date, l'abbé Jean-Baptiste Boisot lègue ses collections à l'abbaye de Saint Vincent de Besançon, aujourd'hui disparue, à condition qu'elles soient accessibles au public. Elles proviennent essentiellement de celles réunies par l'illustre Nicolas Perrenot de Granvelle (dont la Déposition de croix de Bronzino), garde des sceaux et ministre de Charles Quint, par son fils, le cardinal Antoine et d'autres grandes familles bisontines.  Tout au long des XVIIIe, XIXe et XXe siècles, le musée continue de s'enrichir grâce à des legs ou des donations considérables : Pâris en 1819, Donzelot en 1840, Gigoux en 1894 (3000 dessins et 460 tableaux des écoles espagnoles, anglaise, nordique, allemande ...), Willemot en 1897, Besson en 1960 (112 tableaux, 220 dessins de l'époque moderne et contemporaine). Il bénéficie également de prestigieux dépôts de l'Etat (dont L’hallali du cerf de Courbet), des fouilles archéologiques et d'achats majeurs. Installé dans une ancienne halle à grains en 1843 et réaménagé à la fin des années 1960 par un élève de Le Corbusier, Louis Miquel, il fait partie des 20 plus importants musées en région. 
MUSÉE DU TEMPS	Palais Granvelle, 96 Grande rue	25000	Besançon	25056		47.2359174514	6.0269236565	03 81 87 81 50	musee-du-temps@besancon.fr	www.besancon.fr/museedutemps	www.facebook.com/mdt.besancon	Installé depuis 2002 dans un monument historique, le palais Granvelle, le musée du Temps rend hommage à l'histoire et à la tradition horlogère de Besançon. 
MUSÉE DE LA MONTRE	Rue Berçot	25130	Villers-le-Lac	25321		47.0580832839	6.6699671745	381680800	museedelamontre@orange.fr	www.pays-horloger.com		Élégance et raffinement caractérisent ce musée qui propose une immersion dans 5 siècles d'histoire de la montre, cet objet de désir, parfaite alliance du charme et de la technique. Un voyage qui, par la diversité, l'originalité et la richesse des collections présentées, témoigne du génie créateur de l'homme mais aussi des évolutions de ce bijou qui donne l'heure en étant aussi pièce de joaillerie, devenu aujourd'hui objet-culte des grands couturiers. Dix automates grandeur nature refont des gestes oubliés émerveillant petits et grands.
LE PAVILLON DES SCIENCES	Parc scientifique du Près la Rose, Espace Galilée, 3 rue Charles Lalance	25200	Montbéliard	25388	Gratuit	47.5057653878	6.8039488792	381914683	aurelien@pavillon-sciences.com	www.pavillon-sciences.com		Le Pavillon des Sciences, centre de culture scientifique propose des expositions ludiques et interactives sur les différents domaines de la science.
MUSÉE BEURNIER-ROSSEL - MUSEE D'ART ET D'HISTOIRE	Hôtel Beurnier-Rossel, 8 place St Martin	25200	Montbéliard	25388		47.509937	6.797801	03 81 99 24 93	musees@montbeliard.com	www.montbeliard.com		L'Hôtel Beurnier-Rossel situé au cœur de la ville, face au temple Saint-Martin, constitue le lieu de mémoire de la Ville de Montbéliard. Il accueille les riches collections du musée d'Art et d'Histoire. Conçu par Georges David Rossel et Anne Madeleine Beurnier, de 1772 à 1774, cet hôtel est resté dans la famille jusqu'en 1917, date à laquelle le dernier descendant l'a légué à la ville pour en faire un musée historique. Les plans ont été dressés par Philippe de la Guêpière en 1772 lors de son séjour à Montbéliard. Cet architecte français qui a fait carrière dans le Wurtemberg a réalisé entre autres vers 1762 les châteaux de Solitude à Stuttgart et de Monrepos à Ludwigsburg. La composition d'ensemble de ce bâtiment est très nouvelle à Montbéliard avec un corps de logis principal suivi à l'arrière d'une cour entourée de bâtiments de services dont une aile curviligne.  Le premier étage accueille la reconstitution des salons de bourgeois, proches de la cour des ducs de Wurtemberg, avec des portraits de la famille et des notables, des meubles du célèbre ébéniste Abraham Nicolas Couleru, des chaises, fauteuils et canapé Louis XV et Louis XVI, un piano forte de 1790 et la bibliothèque complète d'un érudit de la fin du siècle des lumières. Le grand salon, classé monument historique, présente un superbe poêle en faïence et des boiseries peintes de décors en grisaille.  Le deuxième étage est consacré à l'évocation de l'histoire et des traditions du Pays avec son double particularisme : principauté allemande et protestantisme : on peut y admirer des armoires montbéliardaises, des bonnets à diairi (coiffe locale), de la verquelure, les poids et mesures de la principauté, les images populaires de l'imprimerie Deckherr et quelques jouets des XVVIIIe et XIXe siècles. Les musées de Montbéliard développent depuis plusieurs années une section importante de musiques mécaniques crées autour des productions de l'entreprise L'Epée installée à Sainte Suzanne, (commune voisine de Montbéliard) fabrique française la plus importante de tous les temps. La boîte à musique est un instrument de musique mécanique dont les sons proviennent de la vibration de lames d'acier fixées à une extrémité ; ces lames sont mises en vibration à leur extrémité libre par des picots disposés sur un cylindre animé d'un mouvement rotatif régulier. L'invention de la boîte à musique revient à Antoine Favre en 1776. Il faut attendre 1810 pour que se développe une véritable industrie d'abord en Suisse, ensuite en France et en Europe centrale. Les mouvements manufacturés sont classés en deux catégories : les tabatières, petites boîtes appelées ainsi parce que contenant primitivement du tabac ; elles sont caractérisées par le remontage du mouvement sous la boîte à l'aide d'une clef ; les cartels, dont les mouvements, plus grands, se remontent sur le côté ou par-dessus et qui, au départ ont été fabriqués pour être placés dans les socles des pendules de cheminées.
MUSÉE DU CHÂTEAU DES DUCS DE WURTEMBERG  - VILLE DE MONTBÉLIARD	Cour du château	25205	Montbéliard	25388		47.5098818067	6.7977261543	03 81 99 22 61	musees@montbeliard.com	www.montbeliard.com		Au cœur de la ville de Montbéliard, le château se dresse sur un éperon rocheux qui domine le confluent de la Lizaine et de l'Allan. Ce bâtiment est pendant quatre siècles, de 1397 à 1793, la résidence des ducs de Wurtemberg. En 1960, le château devient un musée regroupant des collections archéologiques, d'histoire naturelle et de beaux-arts. et développant depuis 1970 une collection d'art contemporain. De nombreuses expositions temporaires liées aux différents départements du musée complètent la découverte de ce site.
ÉCOMUSÉE MAISON MICHAUD	26 Combe des Cives	25240	Chapelle-des-Bois	25121		46.616756	6.135927	03 81 69 27 42	ecomusee.jura@gmail.com	www.ecomusee-jura.fr	www.facebook.com/pages/Ecomus%C3%A9e-Maison-Michaud/748067295261949?fref=ts	Ferme à tuyé du XVIIe siècle. De la cave à fromage aux chambres hautes, de la grange à l'écurie, l'écomusée évoque la vie paysanne au cours des siècles passés. Découvrez l'ingéniosité des hommes qui ont su adapter leurs activités aux contraintes d'un climat rude et tirer parti des richesses de la montagne.
MUSÉE GUSTAVE COURBET	1 place Robert Fernier	25290	Ornans	25434	parking à proximité	47.1051239222	6.1472475529	03 81 86 59 55	musee.courbet@doubs.fr	www.musee-courbet.doubs.fr	musee courbet	Le musée Courbet à Ornans est entièrement rénové, agrandi et résolument moderne avec un aménagement de plus de 2000 m2 de surface totale et 21 salles d’exposition permanente et temporaire. Le musée, propriété du Département du Doubs, s’étend sur trois bâtiments : la maison Borel, l’hôtel Hébert et l’hôtel Champereux. Il est empreint d’une grande modernité tout en respectant à la fois l’environnement et le caractère historique et intime de la maison où vécut l’artiste. Sa configuration permet de réaliser des expositions temporaires en simultané avec l’exposition permanente consacrée à l’oeuvre de l’artiste. Le parcours muséographique offre des vues inédites sur la Loue et la ville d’Ornans.  C’est pour rendre hommage à l’artiste que le Conseil général du Doubs s’est engagé dans un ambitieux projet culturel et territorial «Pays de Courbet, pays d’artiste». Ce projet scientifique et artistique, labellisé ethnopôle par le Ministère de la Culture depuis 2010, allie nature et culture autour du peintre. Un parcours dans la collection permanente évoque, d'Ornans à Paris, la carrière de Gustave Courbet, la rupture esthétique qu'il mena ainsi que les milieux artistiques qu'il fréquenta, son engagement politique jusqu'à son exil et sa mort en Suisse. La collection permanente vient d’être enrichie par l’acquisition du Chêne de Flagey  suite à la volonté du Conseil Général et grâce à une souscription nationale réussie. Depuis février 2013, le musée accueille 10 œuvres de Courbet, notament Les paysans de Flagey revenant de la foire, ces tableaux sont confiés par le musée des Beaux-Arts de Besançon actuellement en travaux de restauration.
